Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]
Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]
Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]
Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]
Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]
Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]|Any["(= objX objX)"]
Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]
Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]|Any["(= objX objX)", "(= objX (nextLiquid objX))"]
Any[""]|Any["(= addedObjType2List (addObj addedObjType2List (ObjType2  (Position (.. click x) (.. click y)))))", "(= addedObjType2List (addObj addedObjType2List (ObjType2  (Position (.. click x) (.. click y)))))", "(= addedObjType2List (addObj addedObjType2List (map (--> pos (ObjType2 pos)) (randomPositions GRID_SIZE 1))))", "(= addedObjType2List (addObj addedObjType2List (ObjType2  (Position 49 49))))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX -1 -2))", "(= objX (moveNoCollision objX -1 -2))"]|Any["(= objX (move objX -1 -2))", "(= objX (moveNoCollision objX -1 -2))"]|Any["(= objX (move objX -1 -2))", "(= objX (moveNoCollision objX -1 -2))"]|Any["(= objX (move objX 0 -2))", "(= objX (moveNoCollision objX 0 -2))"]|Any["(= objX (move objX 0 -2))", "(= objX (moveNoCollision objX 0 -2))"]|Any["(= objX (move objX 0 -2))", "(= objX (moveNoCollision objX 0 -2))"]|Any["(= objX (move objX 1 -2))", "(= objX (moveNoCollision objX 1 -2))"]|Any["(= objX (move objX 1 -2))", "(= objX (moveNoCollision objX 1 -2))"]|Any["(= objX (move objX 1 -2))", "(= objX (moveNoCollision objX 1 -2))"]|Any["(= objX (move objX 2 -1))", "(= objX (moveNoCollision objX 2 -1))"]|Any["(= objX (move objX 2 -1))", "(= objX (moveNoCollision objX 2 -1))"]|Any["(= objX (move objX 2 -1))", "(= objX (moveNoCollision objX 2 -1))"]|Any["(= objX (move objX 2 1))", "(= objX (moveNoCollision objX 2 1))"]|Any["(= objX (move objX 2 1))", "(= objX (moveNoCollision objX 2 1))"]|Any["(= objX (move objX 2 1))", "(= objX (moveNoCollision objX 2 1))"]|Any["(= objX (move objX -1 2))", "(= objX (moveNoCollision objX -1 2))"]|Any["(= objX (move objX -1 2))", "(= objX (moveNoCollision objX -1 2))"]|Any["(= objX (move objX -1 2))", "(= objX (moveNoCollision objX -1 2))"]|Any["(= objX (move objX 0 2))", "(= objX (moveNoCollision objX 0 2))"]|Any["(= objX (move objX 0 2))", "(= objX (moveNoCollision objX 0 2))"]|Any["(= objX (move objX 0 2))", "(= objX (moveNoCollision objX 0 2))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]
Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any[""]|Any["(= addedObjType2List (addObj addedObjType2List (ObjType2  (Position (.. click x) (.. click y)))))", "(= addedObjType2List (addObj addedObjType2List (ObjType2  (Position (.. click x) (.. click y)))))", "(= addedObjType2List (addObj addedObjType2List (map (--> pos (ObjType2 pos)) (randomPositions GRID_SIZE 1))))", "(= addedObjType2List (addObj addedObjType2List (ObjType2  (Position 45 44))))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX -1 -2))", "(= objX (moveNoCollision objX -1 -2))"]|Any["(= objX (move objX -1 -2))", "(= objX (moveNoCollision objX -1 -2))"]|Any["(= objX (move objX -1 -2))", "(= objX (moveNoCollision objX -1 -2))"]|Any["(= objX (move objX 0 -2))", "(= objX (moveNoCollision objX 0 -2))"]|Any["(= objX (move objX 0 -2))", "(= objX (moveNoCollision objX 0 -2))"]|Any["(= objX (move objX 0 -2))", "(= objX (moveNoCollision objX 0 -2))"]|Any["(= objX (move objX 1 -2))", "(= objX (moveNoCollision objX 1 -2))"]|Any["(= objX (move objX 1 -2))", "(= objX (moveNoCollision objX 1 -2))"]|Any["(= objX (move objX 1 -2))", "(= objX (moveNoCollision objX 1 -2))"]|Any["(= objX (move objX 2 -1))", "(= objX (moveNoCollision objX 2 -1))"]|Any["(= objX (move objX 2 -1))", "(= objX (moveNoCollision objX 2 -1))"]|Any["(= objX (move objX 2 -1))", "(= objX (moveNoCollision objX 2 -1))"]|Any["(= objX (move objX 2 1))", "(= objX (moveNoCollision objX 2 1))"]|Any["(= objX (move objX 2 1))", "(= objX (moveNoCollision objX 2 1))"]|Any["(= objX (move objX 2 1))", "(= objX (moveNoCollision objX 2 1))"]|Any["(= objX (move objX -1 2))", "(= objX (moveNoCollision objX -1 2))"]|Any["(= objX (move objX -1 2))", "(= objX (moveNoCollision objX -1 2))"]|Any["(= objX (move objX -1 2))", "(= objX (moveNoCollision objX -1 2))"]|Any["(= objX (move objX 0 2))", "(= objX (moveNoCollision objX 0 2))"]|Any["(= objX (move objX 0 2))", "(= objX (moveNoCollision objX 0 2))"]|Any["(= objX (move objX 0 2))", "(= objX (moveNoCollision objX 0 2))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]|Any["(= objX (move objX 2 0))", "(= objX (moveNoCollision objX 2 0))"]
